Dates,Max,std,Max+sd,Max-sd
2012-04-01,10.38,0.86,11.24,9.53
2012-05-01,10.16,1.76,11.93,8.40
2012-06-01,10.08,1.90,11.98,8.18
2012-07-01,10.12,1.66,11.78,8.46
2012-08-01,9.66,2.06,11.72,7.60
2012-09-01,9.83,0.98,10.81,8.86
2012-10-01,9.53,1.06,10.60,8.47
2012-11-01,7.23,1.10,8.32,6.13
2012-12-01,6.78,0.52,7.30,6.26
2013-01-01,7.33,1.02,8.34,6.31
2013-02-01,9.71,0.91,10.62,8.80
2013-03-01,10.46,1.91,12.36,8.55
2013-04-01,10.68,1.41,12.09,9.28
2013-05-01,10.32,1.40,11.71,8.92
2013-06-01,10.18,1.63,11.81,8.55
2013-07-01,10.27,1.36,11.63,8.90
2013-08-01,9.94,1.47,11.41,8.47
2013-09-01,8.54,2.29,10.83,6.24
2013-10-01,7.99,1.84,9.83,6.14
2013-11-01,7.04,1.08,8.12,5.95
2013-12-01,6.10,0.84,6.94,5.27
2014-01-01,6.16,0.76,6.92,5.40
2014-02-01,7.75,0.75,8.50,7.00
2014-03-01,10.40,1.58,11.98,8.82
2014-04-01,10.88,1.22,12.10,9.66
2014-05-01,10.55,1.72,12.27,8.84
2014-06-01,10.92,1.27,12.19,9.66
2014-07-01,10.83,1.33,12.16,9.50
2014-08-01,10.98,1.07,12.05,9.91
2014-09-01,10.18,1.45,11.63,8.73
2014-10-01,9.26,1.42,10.68,7.84
2014-11-01,8.01,0.78,8.79,7.23
2014-12-01,6.89,1.06,7.96,5.83
2015-01-01,7.22,1.24,8.46,5.98
2015-02-01,8.92,1.41,10.32,7.51
2015-03-01,10.07,1.54,11.61,8.53
2015-04-01,10.00,1.52,11.52,8.48
2015-05-01,10.10,1.62,11.73,8.48
2015-06-01,9.96,1.11,11.07,8.86
2015-07-01,9.93,0.88,10.82,9.05
2015-08-01,10.15,0.90,11.05,9.24
2015-09-01,9.22,2.06,11.28,7.16
2015-10-01,8.23,2.14,10.37,6.08
2015-11-01,7.32,1.38,8.70,5.94
2015-12-01,5.96,1.02,6.99,4.94
2016-01-01,6.58,1.67,8.25,4.91
2016-02-01,8.19,1.10,9.30,7.09
2016-03-01,9.46,2.44,11.90,7.02
2016-04-01,10.80,1.98,12.78,8.81
2016-05-01,11.16,1.38,12.54,9.78
2016-06-01,11.32,1.48,12.80,9.84
2016-07-01,11.56,1.09,12.65,10.47
2016-08-01,11.70,1.04,12.73,10.66
2016-09-01,11.03,0.90,11.93,10.12
2016-10-01,9.85,1.48,11.33,8.37
2016-11-01,7.96,1.59,9.55,6.37
2016-12-01,7.86,0.78,8.65,7.08
2017-01-01,7.90,0.66,8.56,7.24
2017-02-01,9.04,1.06,10.10,7.98
2017-03-01,10.65,1.56,12.21,9.10
2017-04-01,11.78,1.32,13.10,10.46
2017-05-01,10.79,0.94,11.73,9.85
2017-06-01,12.06,1.42,13.48,10.63
2017-07-01,11.45,1.16,12.61,10.29
2017-08-01,11.38,1.63,13.01,9.76
2017-09-01,10.52,1.76,12.28,8.76
2017-10-01,9.60,1.12,10.72,8.48
2017-11-01,8.17,0.77,8.94,7.40
2017-12-01,6.46,0.65,7.12,5.81
2018-01-01,6.59,0.82,7.41,5.77
2018-02-01,8.80,0.73,9.54,8.07
2018-03-01,10.56,0.99,11.55,9.57
2018-04-01,10.53,0.91,11.44,9.62
2018-05-01,11.48,1.00,12.47,10.48
2018-06-01,12.49,1.62,14.11,10.87
2018-07-01,11.92,0.78,12.69,11.14
2018-08-01,12.46,1.08,13.54,11.38
2018-09-01,12.09,0.50,12.59,11.58
2018-10-01,10.57,1.35,11.92,9.22
2018-11-01,8.66,1.66,10.32,7.01
2018-12-01,8.80,1.03,9.83,7.76
2019-01-01,8.79,1.04,9.83,7.76
2019-02-01,10.79,1.43,12.22,9.36
2019-03-01,12.26,1.22,13.48,11.05
2019-04-01,11.88,1.49,13.37,10.39
2019-05-01,11.31,1.27,12.58,10.04
2019-06-01,12.40,1.48,13.88,10.92
2019-07-01,12.33,1.00,13.33,11.33
2019-08-01,13.32,1.09,14.42,12.23
2019-09-01,12.23,1.30,13.53,10.93
2019-10-01,10.82,1.70,12.53,9.12
2019-11-01,9.18,0.91,10.09,8.27
2019-12-01,7.34,0.92,8.26,6.42
